timesteps,wall_time,num_episodes,max_episode_rewards,mean_episode_rewards,min_episode_rewards,max_episode_len,mean_episode_len,min_episode_len,mean_timeouts,val_max_episode_rewards,val_mean_episode_rewards,val_min_episode_rewards,val_max_episode_len,val_mean_episode_len,val_min_episode_len,val_mean_timeouts
2097152,4611.742473363876,4947,10.0,1.75,0.0,500,438.45,0,0.0,10.0,2.5,0.0,500,387.175,0,0.0
2162688,4765.7227663993835,5070,10.0,1.5,0.0,500,450.625,0,0.0,10.0,2.75,0.0,500,397.175,0,0.0
2228224,4912.642747879028,5252,10.0,2.25,0.0,500,413.025,0,0.0,10.0,2.25,0.0,500,433.475,0,0.0
2293760,5055.502753019333,5389,10.0,3.0,0.0,500,393.425,0,0.0,10.0,1.0,0.0,500,451.675,0,0.0
2359296,5200.484597444534,5567,10.0,2.0,0.0,500,415.275,0,0.0,10.0,2.25,0.0,500,423.3,0,0.0
2424832,5353.35555768013,5696,10.0,2.25,0.0,500,433.8,0,0.025,10.0,2.25,0.0,500,417.55,0,0.0
2490368,5512.57578420639,5885,10.0,2.75,0.0,500,395.5,0,0.0,10.0,2.25,0.0,500,422.45,0,0.0
2555904,5659.3144681453705,6007,10.0,1.75,0.0,500,437.2,0,0.0,10.0,2.75,0.0,500,390.175,0,0.0
2621440,5807.184435367584,6198,10.0,1.75,0.0,500,421.325,0,0.0,10.0,2.0,0.0,500,426.675,0,0.0
2686976,5961.975643634796,6335,10.0,3.25,0.0,500,368.775,0,0.0,10.0,1.5,0.0,500,451.25,0,0.0
2752512,6106.890871763229,6520,10.0,2.0,0.0,500,451.275,0,0.0,10.0,2.25,0.0,500,410.2,0,0.0
2818048,6256.120874643326,6655,10.0,2.5,0.0,500,411.75,0,0.0,10.0,2.75,0.0,500,405.625,0,0.0
2883584,6408.6788284778595,6846,10.0,2.5,0.0,500,393.65,0,0.0,10.0,2.75,0.0,500,387.35,0,0.0
2949120,6557.0788061618805,7001,10.0,2.5,0.0,500,392.025,0,0.0,10.0,1.75,0.0,500,425.7,0,0.0
3014656,6702.513631820679,7184,10.0,2.5,0.0,500,392.25,0,0.0,10.0,2.75,0.0,500,420.375,0,0.0
3080192,6853.162959814072,7336,10.0,3.0,0.0,500,404.0,0,0.0,10.0,1.75,0.0,500,444.725,0,0.0
3145728,6998.120947599411,7507,10.0,2.25,0.0,500,402.0,0,0.025,10.0,2.0,0.0,500,427.0,0,0.0
3211264,7145.3095643520355,7652,10.0,2.5,0.0,500,420.1,0,0.0,10.0,3.25,0.0,500,374.425,0,0.0
3276800,7286.372723817825,7808,10.0,2.25,0.0,500,428.85,0,0.0,10.0,2.25,0.0,500,429.05,0,0.025
3342336,7428.1815729141235,7976,10.0,3.5,0.0,500,372.775,0,0.0,10.0,2.5,0.0,500,410.55,0,0.0
3407872,7572.127744913101,8139,10.0,2.75,0.0,500,408.875,0,0.0,10.0,2.0,0.0,500,413.0,0,0.0
3473408,7709.469895124435,8303,10.0,2.0,0.0,500,408.525,0,0.0,10.0,3.0,0.0,500,377.55,0,0.0
3538944,7846.045693397522,8469,10.0,1.5,0.0,500,429.9,0,0.0,10.0,2.75,0.0,500,403.125,0,0.0
3604480,7988.722806692123,8634,10.0,2.75,0.0,500,379.4,0,0.0,10.0,2.25,0.0,500,419.025,0,0.0
3670016,8124.722462415695,8790,10.0,1.5,0.0,500,442.85,0,0.025,10.0,2.0,0.0,500,427.975,0,0.0
3735552,8263.235803365707,8947,10.0,2.5,0.0,500,403.5,0,0.0,10.0,3.25,0.0,500,376.225,0,0.0
3801088,8403.780388116837,9123,10.0,3.25,0.0,500,360.825,0,0.0,10.0,3.5,0.0,500,343.325,0,0.025
3866624,8539.738275766373,9287,10.0,2.75,0.0,500,386.925,0,0.025,10.0,2.0,0.0,500,428.35,0,0.0
3932160,8680.675719738007,9432,10.0,1.75,0.0,500,417.925,0,0.025,10.0,1.5,0.0,500,429.225,0,0.0
3997696,8825.291050195694,9617,10.0,3.0,0.0,500,370.125,0,0.0,10.0,2.0,0.0,500,425.175,0,0.025
4063232,8964.658036470413,9767,10.0,2.25,0.0,500,413.375,0,0.0,10.0,2.0,0.0,500,424.8,0,0.025
4128768,9103.678485155106,9932,10.0,1.75,0.0,500,426.025,0,0.0,10.0,2.75,0.0,500,412.975,0,0.025
4194304,9239.537803411484,10083,10.0,2.0,0.0,500,411.95,0,0.0,10.0,2.0,0.0,500,431.325,0,0.0
4259840,9374.41178059578,10250,10.0,3.0,0.0,500,378.65,0,0.0,10.0,2.5,0.0,500,406.675,0,0.0
4325376,9516.018895626068,10417,10.0,2.25,0.0,500,397.35,0,0.0,10.0,1.75,0.0,500,458.025,0,0.0
4390912,9661.591965436935,10577,10.0,1.0,0.0,500,455.025,0,0.0,10.0,1.5,0.0,500,441.625,0,0.025
4456448,9802.80955696106,10746,10.0,3.0,0.0,500,360.975,0,0.0,10.0,2.75,0.0,500,374.95,0,0.0
4521984,9949.364840984344,10892,10.0,1.75,0.0,500,447.475,0,0.0,10.0,1.25,0.0,500,443.125,0,0.0
4587520,10093.00739479065,11057,10.0,1.5,0.0,500,436.85,0,0.0,10.0,2.75,0.0,500,402.95,0,0.0
4653056,10229.843791007996,11218,10.0,2.0,0.0,500,423.25,0,0.025,10.0,1.25,0.0,500,443.525,0,0.0
4718592,10362.4988925457,11384,10.0,2.75,0.0,500,396.2,0,0.0,10.0,3.0,0.0,500,377.775,0,0.0
4784128,10498.817115783691,11558,10.0,3.0,0.0,500,391.75,0,0.0,10.0,2.0,0.0,500,410.55,0,0.0
4849664,10637.049371242523,11713,10.0,1.75,0.0,500,439.375,0,0.0,10.0,2.75,0.0,500,389.35,0,0.0
4915200,10777.377341508865,11883,10.0,2.5,0.0,500,394.625,0,0.0,10.0,3.25,0.0,500,379.475,0,0.0
4980736,10920.029877185822,12055,10.0,2.25,0.0,500,407.525,0,0.0,10.0,2.5,0.0,500,384.225,0,0.0
5046272,11061.146489620209,12221,10.0,3.25,0.0,500,367.9,0,0.025,10.0,2.0,0.0,500,408.975,0,0.0
5111808,11204.206310510635,12382,10.0,1.75,0.0,500,429.825,0,0.0,10.0,2.5,0.0,500,394.925,0,0.0
5177344,11352.104779481888,12528,10.0,2.25,0.0,500,415.825,0,0.025,10.0,3.25,0.0,500,384.425,0,0.0
5242880,11492.805634498596,12701,10.0,2.75,0.0,500,413.8,0,0.025,10.0,2.5,0.0,500,402.325,0,0.0
5308416,11636.018702030182,12850,10.0,1.75,0.0,500,446.85,0,0.0,10.0,2.0,0.0,500,409.6,0,0.0
5373952,11783.873519182205,13016,10.0,3.0,0.0,500,368.4,0,0.0,10.0,2.75,0.0,500,395.775,0,0.0
5439488,11933.451012134552,13185,10.0,3.25,0.0,500,363.6,0,0.0,10.0,2.5,0.0,500,412.4,0,0.0
5505024,12122.809149742126,13345,10.0,2.0,0.0,500,419.525,0,0.0,10.0,3.5,0.0,500,386.1,0,0.0
5570560,12274.433721065521,13499,10.0,3.0,0.0,500,384.2,0,0.0,10.0,3.0,0.0,500,399.825,0,0.0
5636096,12427.890048503876,13680,10.0,3.25,0.0,500,373.35,0,0.0,10.0,2.5,0.0,500,395.175,0,0.0
5701632,12572.229075431824,13838,10.0,3.0,0.0,500,395.575,0,0.025,10.0,3.0,0.0,500,390.375,0,0.0
5767168,12719.246017456055,14005,10.0,1.5,0.0,500,455.475,0,0.0,10.0,4.0,0.0,500,345.4,0,0.0
5832704,12864.406233549118,14171,10.0,1.75,0.0,500,434.6,0,0.0,10.0,2.25,0.0,500,414.075,0,0.0
5898240,13006.39410996437,14334,10.0,2.25,0.0,500,421.75,0,0.0,10.0,4.0,0.0,500,335.375,0,0.0
5963776,13145.294652223587,14503,10.0,1.75,0.0,500,443.425,0,0.0,10.0,2.0,0.0,500,413.2,0,0.0
6029312,13279.946184635162,14662,10.0,2.0,0.0,500,421.575,0,0.0,10.0,2.25,0.0,500,432.95,0,0.0
6094848,13423.852295398712,14840,10.0,3.75,0.0,500,348.625,0,0.025,10.0,3.0,0.0,500,391.125,0,0.0
6160384,13566.411685943604,14994,10.0,1.5,0.0,500,444.825,0,0.0,10.0,2.0,0.0,500,437.95,0,0.0
6225920,13705.94049835205,15163,10.0,3.25,0.0,500,375.1,0,0.0,10.0,3.75,0.0,500,357.425,0,0.025
6291456,13851.045700073242,15339,10.0,3.75,0.0,500,360.475,0,0.0,10.0,3.25,0.0,500,363.25,0,0.025
6356992,13980.19227218628,15513,10.0,3.25,0.0,500,372.525,0,0.0,10.0,2.75,0.0,500,407.275,0,0.0
6422528,14108.62057876587,15668,10.0,3.25,0.0,500,376.7,0,0.0,10.0,3.75,0.0,500,356.725,0,0.0
6488064,14238.033945083618,15834,10.0,2.0,0.0,500,421.675,0,0.0,10.0,2.25,0.0,500,405.6,0,0.0
6553600,14365.933230638504,15993,10.0,2.0,0.0,500,430.0,0,0.0,10.0,1.0,0.0,500,457.575,0,0.0
6619136,14493.037932395935,16166,10.0,2.75,0.0,500,416.25,0,0.0,10.0,1.75,0.0,500,428.55,0,0.0
6684672,14614.838052511215,16322,10.0,2.75,0.0,500,405.45,0,0.0,10.0,2.75,0.0,500,408.675,0,0.0
6750208,14746.918512582779,16480,10.0,2.0,0.0,500,421.725,0,0.0,10.0,1.25,0.0,500,447.725,0,0.0
6815744,14876.202963113785,16634,10.0,2.0,0.0,500,429.35,0,0.0,10.0,3.0,0.0,500,388.15,0,0.0
6881280,15008.530125379562,16806,10.0,1.75,0.0,500,418.55,0,0.0,10.0,3.5,0.0,500,378.3,0,0.0
6946816,15138.433401107788,16968,10.0,3.25,0.0,500,378.125,0,0.0,10.0,3.0,0.0,500,378.075,0,0.05
7012352,15273.902569532394,17124,10.0,3.75,0.0,500,344.675,0,0.0,10.0,2.25,0.0,500,397.675,0,0.0
7077888,15402.830787658691,17302,10.0,1.5,0.0,500,445.125,0,0.0,10.0,2.5,0.0,500,403.575,0,0.025
7143424,15539.881455898285,17458,10.0,3.75,0.0,500,353.675,0,0.0,10.0,4.0,0.0,500,348.975,0,0.0
7208960,15668.008781909943,17624,10.0,1.75,0.0,500,425.625,0,0.0,10.0,2.0,0.0,500,424.375,0,0.0
7274496,15802.150534391403,17774,10.0,2.75,0.0,500,393.7,0,0.025,10.0,2.5,0.0,500,404.3,0,0.0
7340032,15943.730554819107,17947,10.0,2.25,0.0,500,421.65,0,0.0,10.0,3.0,0.0,500,384.875,0,0.0
7405568,16080.764833450317,18100,10.0,2.5,0.0,500,392.275,0,0.0,10.0,1.5,0.0,500,446.075,0,0.025
7471104,16224.925318479538,18272,10.0,1.75,0.0,500,421.975,0,0.0,10.0,2.25,0.0,500,415.825,0,0.0
7536640,16370.8208694458,18424,10.0,2.75,0.0,500,387.75,0,0.0,10.0,3.0,0.0,500,407.575,0,0.0
7602176,16514.49618625641,18593,10.0,2.25,0.0,500,415.2,0,0.0,10.0,3.25,0.0,500,374.55,0,0.0
7667712,16652.573284626007,18744,10.0,1.5,0.0,500,442.825,0,0.0,10.0,3.0,0.0,500,391.45,0,0.0
7733248,16785.957976341248,18913,10.0,3.25,0.0,500,364.65,0,0.0,10.0,1.0,0.0,500,458.375,0,0.0
7798784,16919.667625665665,19076,10.0,1.25,0.0,500,449.95,0,0.0,10.0,3.75,0.0,500,372.025,0,0.0
7864320,17049.629049777985,19229,10.0,2.0,0.0,500,423.7,0,0.0,10.0,2.5,0.0,500,423.2,0,0.0
7929856,17184.273815631866,19392,10.0,2.0,0.0,500,409.675,0,0.025,10.0,3.25,0.0,500,377.55,0,0.0
7995392,17319.3068048954,19543,10.0,2.5,0.0,500,411.05,0,0.0,10.0,3.75,0.0,500,358.2,0,0.025
8060928,17468.359255075455,19714,10.0,2.5,0.0,500,392.95,0,0.025,10.0,2.75,0.0,500,393.925,0,0.0
8126464,17616.632086277008,19876,10.0,3.0,0.0,500,400.7,0,0.0,10.0,2.5,0.0,500,411.275,0,0.0
8192000,17760.884129047394,20042,10.0,2.0,0.0,500,442.25,0,0.025,10.0,3.0,0.0,500,386.325,0,0.025
8257536,17901.61025071144,20193,10.0,2.25,0.0,500,432.3,0,0.0,10.0,3.5,0.0,500,388.95,0,0.05
8323072,18047.42189002037,20357,10.0,1.5,0.0,500,449.825,0,0.0,10.0,2.25,0.0,500,411.35,0,0.0
8388608,18183.383590698242,20512,10.0,2.5,0.0,500,401.85,0,0.0,10.0,2.5,0.0,500,414.725,0,0.025
8454144,18322.0849275589,20682,10.0,3.0,0.0,500,373.675,0,0.0,10.0,3.75,0.0,500,354.65,0,0.0
8519680,18472.184010744095,20845,10.0,3.0,0.0,500,391.225,0,0.0,10.0,2.5,0.0,500,390.65,0,0.0
8585216,18619.43360567093,21012,10.0,3.0,0.0,500,379.45,0,0.025,10.0,2.5,0.0,500,406.225,0,0.0
8650752,18760.463602542877,21169,10.0,2.25,0.0,500,413.4,0,0.0,10.0,2.5,0.0,500,397.5,0,0.0
8716288,18900.524841547012,21343,10.0,3.25,0.0,500,363.75,0,0.0,10.0,2.0,0.0,500,428.525,0,0.0
8781824,19055.187786579132,21496,10.0,0.75,0.0,500,480.85,0,0.0,10.0,2.75,0.0,500,403.65,0,0.0
8847360,19192.660220384598,21665,10.0,2.25,0.0,500,408.8,0,0.0,10.0,2.25,0.0,500,411.325,0,0.0
8912896,19342.326587677002,21825,10.0,2.5,0.0,500,391.275,0,0.0,10.0,2.0,0.0,500,422.425,0,0.0
8978432,19486.25026154518,21983,10.0,2.75,0.0,500,396.3,0,0.0,10.0,3.0,0.0,500,392.5,0,0.0
9043968,19623.99910545349,22150,10.0,1.75,0.0,500,419.65,0,0.0,10.0,3.0,0.0,500,381.375,0,0.0
9109504,19763.255054473877,22316,10.0,3.75,0.0,500,363.85,0,0.0,10.0,2.5,0.0,500,403.925,0,0.0
9175040,19897.177130699158,22484,10.0,3.75,0.0,500,351.15,0,0.0,10.0,3.25,0.0,500,391.45,0,0.025
9240576,20037.05549812317,22640,10.0,2.25,0.0,500,425.7,0,0.0,10.0,3.0,0.0,500,375.2,0,0.0
9306112,20186.968154907227,22829,10.0,2.5,0.0,500,400.175,0,0.0,10.0,2.75,0.0,500,389.95,0,0.0
9371648,20337.03328180313,22977,10.0,3.25,0.0,500,390.75,0,0.025,10.0,3.75,0.0,500,347.4,0,0.0
9437184,20489.4109480381,23157,10.0,2.25,0.0,500,420.85,0,0.0,10.0,2.75,0.0,500,399.575,0,0.0
9502720,20636.7815117836,23308,10.0,2.25,0.0,500,423.7,0,0.0,10.0,2.0,0.0,500,419.175,0,0.0
9568256,20782.432579040527,23478,10.0,2.5,0.0,500,391.325,0,0.025,10.0,1.5,0.0,500,445.675,0,0.0
9633792,20928.299157857895,23637,10.0,3.75,0.0,500,385.15,0,0.0,10.0,2.25,0.0,500,409.05,0,0.0
9699328,21076.767342329025,23818,10.0,3.25,0.0,500,380.7,0,0.025,10.0,2.25,0.0,500,415.0,0,0.0
9764864,21224.47526192665,23988,10.0,3.5,0.0,500,367.4,0,0.0,10.0,2.5,0.0,500,410.2,0,0.0
9830400,21375.99968457222,24162,10.0,3.75,0.0,500,331.2,0,0.0,10.0,3.5,0.0,500,384.025,0,0.0
9895936,21521.16214466095,24319,10.0,1.75,0.0,500,430.025,0,0.0,10.0,3.0,0.0,500,380.6,0,0.0
9961472,21667.53187441826,24491,10.0,4.25,0.0,500,331.925,0,0.0,10.0,2.25,0.0,500,419.225,0,0.0
10027008,21811.23161315918,24656,10.0,2.0,0.0,500,417.8,0,0.0,10.0,3.25,0.0,500,381.25,0,0.0
10092544,21959.251983880997,24820,10.0,2.5,0.0,500,394.5,0,0.0,10.0,2.25,0.0,500,399.35,0,0.0
10158080,22106.449474811554,24981,10.0,2.75,0.0,500,382.425,0,0.025,10.0,3.0,0.0,500,384.525,0,0.0
10223616,22255.030586719513,25140,10.0,2.75,0.0,500,380.275,0,0.0,10.0,3.0,0.0,500,380.0,0,0.0
10289152,22410.780869483948,25304,10.0,1.75,0.0,500,425.875,0,0.0,10.0,2.25,0.0,500,400.375,0,0.0
10354688,22560.612480163574,25475,10.0,2.25,0.0,500,412.4,0,0.0,10.0,3.0,0.0,500,370.475,0,0.0
10420224,22707.70450258255,25645,10.0,3.25,0.0,500,371.625,0,0.0,10.0,1.75,0.0,500,422.05,0,0.0
10485760,22855.346217632294,25811,10.0,2.75,0.0,500,408.0,0,0.025,10.0,1.75,0.0,500,441.575,0,0.0
10551296,23000.848460435867,25986,10.0,3.0,0.0,500,378.15,0,0.0,10.0,3.75,0.0,500,345.05,0,0.0
10616832,23148.456205129623,26146,10.0,2.25,0.0,500,400.625,0,0.0,10.0,2.0,0.0,500,428.3,0,0.0
10682368,23295.327451705933,26318,10.0,2.75,0.0,500,412.55,0,0.025,10.0,2.5,0.0,500,391.8,0,0.0
10747904,23441.597659111023,26480,10.0,3.25,0.0,500,365.975,0,0.0,10.0,3.0,0.0,500,387.3,0,0.0
10813440,23579.347259283066,26648,10.0,2.0,0.0,500,422.925,0,0.0,10.0,3.5,0.0,500,368.775,0,0.025
10878976,23721.642325401306,26814,10.0,2.5,0.0,500,405.25,0,0.0,10.0,2.25,0.0,500,422.6,0,0.0
10944512,23868.637514591217,26981,10.0,2.25,0.0,500,424.225,0,0.025,10.0,1.25,0.0,500,463.425,0,0.0
11010048,24005.688957452774,27151,10.0,3.25,0.0,500,375.675,0,0.0,10.0,2.5,0.0,500,403.85,0,0.0
11075584,24146.61478304863,27335,10.0,1.75,0.0,500,434.375,0,0.025,10.0,3.5,0.0,500,373.4,0,0.0
11141120,24295.01158928871,27502,10.0,3.0,0.0,500,377.925,0,0.0,10.0,2.25,0.0,500,418.95,0,0.0
11206656,24430.175374269485,27675,10.0,2.75,0.0,500,384.0,0,0.0,10.0,2.75,0.0,500,389.275,0,0.0
11272192,24574.073323965073,27837,10.0,4.0,0.0,500,321.425,0,0.0,10.0,1.5,0.0,500,428.925,0,0.0
11337728,24717.838971138,27996,10.0,3.0,0.0,500,367.625,0,0.0,10.0,2.5,0.0,500,398.975,0,0.0
11403264,24858.20471262932,28170,10.0,3.5,0.0,500,368.75,0,0.0,10.0,1.5,0.0,500,443.125,0,0.0
11468800,24998.028661489487,28338,10.0,2.5,0.0,500,407.275,0,0.0,10.0,1.25,0.0,500,442.225,0,0.025
11534336,25143.51796603203,28504,10.0,2.75,0.0,500,384.95,0,0.025,10.0,3.0,0.0,500,369.075,0,0.0
11599872,25295.261848926544,28662,10.0,1.75,0.0,500,423.475,0,0.0,10.0,1.5,0.0,500,443.45,0,0.0
11665408,25449.085078001022,28843,10.0,4.25,0.0,500,365.075,0,0.0,10.0,2.75,0.0,500,386.35,0,0.0
11730944,25593.965810775757,29009,10.0,2.75,0.0,500,403.425,0,0.0,10.0,3.75,0.0,500,355.35,0,0.0
11796480,25737.524168491364,29173,10.0,2.75,0.0,500,377.275,0,0.0,10.0,2.75,0.0,500,393.65,0,0.0
11862016,25876.285341978073,29356,10.0,3.5,0.0,500,374.3,0,0.0,10.0,3.25,0.0,500,392.075,0,0.0
11927552,26018.221682548523,29528,10.0,3.5,0.0,500,388.7,0,0.0,10.0,2.0,0.0,500,418.975,0,0.0
11993088,26155.038477897644,29688,10.0,3.25,0.0,500,361.775,0,0.0,10.0,2.25,0.0,500,412.55,0,0.025
12058624,26298.566700458527,29844,10.0,3.25,0.0,500,390.45,0,0.0,10.0,4.0,0.0,500,341.525,0,0.0
12124160,26438.34622168541,30024,10.0,3.75,0.0,500,362.175,0,0.0,10.0,2.0,0.0,500,416.825,0,0.0
12189696,26579.923086881638,30183,10.0,4.25,0.0,500,338.75,0,0.0,10.0,2.25,0.0,500,424.625,0,0.05
12255232,26716.383130788803,30347,10.0,3.5,0.0,500,374.0,0,0.0,10.0,2.5,0.0,500,417.6,0,0.0
12320768,26857.472903490067,30533,10.0,2.75,0.0,500,373.075,0,0.025,10.0,2.25,0.0,500,415.825,0,0.0
12386304,26989.377492427826,30704,10.0,3.25,0.0,500,385.625,0,0.0,10.0,2.25,0.0,500,397.2,0,0.0
12451840,27147.723041772842,30858,10.0,2.0,0.0,500,417.6,0,0.0,10.0,3.25,0.0,500,393.7,0,0.025
12517376,27304.195728302002,31043,10.0,3.0,0.0,500,372.65,0,0.0,10.0,4.0,0.0,500,340.25,0,0.0
12582912,27451.05460333824,31212,10.0,3.75,0.0,500,341.525,0,0.0,10.0,3.75,0.0,500,336.7,0,0.0
12648448,27602.109476804733,31395,10.0,2.75,0.0,500,387.975,0,0.025,10.0,3.0,0.0,500,374.55,0,0.025
12713984,27754.12430000305,31569,10.0,3.25,0.0,500,363.925,0,0.0,10.0,2.0,0.0,500,418.85,0,0.0
12779520,27903.67678141594,31737,10.0,2.5,0.0,500,396.7,0,0.025,10.0,4.0,0.0,500,340.075,0,0.025
12845056,28063.219232559204,31908,10.0,3.5,0.0,500,352.225,0,0.0,10.0,2.5,0.0,500,406.625,0,0.025
12910592,28205.60503435135,32068,10.0,2.5,0.0,500,394.175,0,0.0,10.0,3.0,0.0,500,370.15,0,0.0
12976128,28367.943329572678,32254,10.0,4.5,0.0,500,331.375,0,0.0,10.0,2.75,0.0,500,402.55,0,0.0
13041664,28537.709139347076,32419,10.0,4.5,0.0,500,323.75,0,0.0,10.0,3.25,0.0,500,363.45,0,0.0
13107200,28705.19251537323,32586,10.0,3.0,0.0,500,391.05,0,0.025,10.0,3.5,0.0,500,386.7,0,0.0
13172736,28858.647810459137,32762,10.0,3.25,0.0,500,355.05,0,0.0,10.0,2.5,0.0,500,396.45,0,0.025
13238272,29013.816453933716,32928,10.0,4.0,0.0,500,361.425,0,0.0,10.0,2.75,0.0,500,369.45,0,0.0
13303808,29179.057101249695,33108,10.0,3.0,0.0,500,368.475,0,0.0,10.0,2.75,0.0,500,399.9,0,0.0
13369344,29349.731731653214,33292,10.0,2.25,0.0,500,409.9,0,0.0,10.0,3.5,0.0,500,373.375,0,0.025
13434880,29516.865209817886,33463,10.0,4.5,0.0,500,326.4,0,0.0,10.0,4.25,0.0,500,317.625,0,0.025
13500416,29677.102111577988,33630,10.0,4.25,0.0,500,352.875,0,0.0,10.0,3.75,0.0,500,348.225,0,0.0
13565952,29838.528091192245,33807,10.0,2.75,0.0,500,401.725,0,0.0,10.0,4.25,0.0,500,323.275,0,0.0
13631488,29994.682993888855,33980,10.0,4.5,0.0,500,340.1,0,0.0,10.0,2.75,0.0,500,395.075,0,0.0
13697024,30137.70796251297,34152,10.0,3.25,0.0,500,381.85,0,0.0,10.0,3.0,0.0,500,383.625,0,0.0
13762560,30282.991330862045,34319,10.0,2.75,0.0,500,394.525,0,0.0,10.0,2.5,0.0,500,389.05,0,0.0
13828096,30431.999741077423,34502,10.0,3.75,0.0,500,343.3,0,0.0,10.0,3.0,0.0,500,374.8,0,0.025
13893632,30581.583128213882,34672,10.0,3.25,0.0,500,364.45,0,0.0,10.0,3.0,0.0,500,389.425,0,0.0
13959168,30719.522804260254,34859,10.0,3.25,0.0,500,382.05,0,0.0,10.0,2.5,0.0,500,384.7,0,0.0
14024704,30854.759562253952,35048,10.0,4.0,0.0,500,353.575,0,0.0,10.0,3.75,0.0,500,383.775,0,0.0
14090240,30987.969853401184,35210,10.0,4.0,0.0,500,371.925,0,0.0,10.0,2.75,0.0,500,401.225,0,0.0
14155776,31132.436995506287,35405,10.0,2.75,0.0,500,392.0,0,0.0,10.0,3.0,0.0,500,371.425,0,0.0
14221312,31282.251760721207,35585,10.0,3.0,0.0,500,369.9,0,0.0,10.0,2.75,0.0,500,401.1,0,0.0
